run_id,algorithm,nodes,edges,source_node,target_node,time_sec,memory_peak_mb,energy_joules,cpu_energy_joules,path_found,path_length
32,Dijkstra,1000,5000,708,860,0.02608942985534668,0.2936553955078125,0.8610322296753528,0.5888362292334439,True,7
32,Bellman-Ford,1000,5000,708,860,0.03898191452026367,0.3010540008544922,1.132801152241374,0.7332801543520341,True,7
32,A_Star,1000,5000,708,860,0.012019872665405273,0.2934722900390625,0.44526556202489875,0.313240561385639,True,7
33,Dijkstra,1000,5000,951,934,0.0009982585906982422,0.29344940185546875,0.1026734924350865,0.08228149082856251,True,6
33,Bellman-Ford,1000,5000,951,934,0.03786468505859375,0.2998161315917969,1.1681487716494594,0.7693827736882959,True,6
33,A_Star,1000,5000,951,934,0.0,0.2925872802734375,0.0914221166182775,0.0764471178424079,True,6
34,Dijkstra,1000,5000,381,527,0.01999974250793457,0.29373645782470703,0.6242778228793759,0.4142488219973166,True,7
34,Bellman-Ford,1000,5000,381,527,0.0499875545501709,0.30039215087890625,1.3131243278536187,0.8041703267286703,True,7
34,A_Star,1000,5000,381,527,0.019993066787719727,0.2933073043823242,0.5206460421686526,0.3018980435808654,True,7
35,Dijkstra,1000,5000,626,205,0.018000125885009766,0.3009662628173828,0.4733417704572732,0.28464276901090685,True,4
35,Bellman-Ford,1000,5000,626,205,0.055985212326049805,0.2969703674316406,1.2688254745885033,0.7003894745580154,True,4
35,A_Star,1000,5000,626,205,0.005002498626708984,0.2937192916870117,0.1762278205202469,0.11468082102477041,True,4
36,Dijkstra,1000,5000,127,768,0.027996301651000977,0.29440879821777344,0.6693834642891306,0.3764104651298839,True,4
36,Bellman-Ford,1000,5000,127,768,0.04799175262451172,0.2998924255371094,1.1032415881241162,0.6161745871836742,True,4
36,A_Star,1000,5000,127,768,0.016098499298095703,0.2936363220214844,0.3780436731128022,0.19723067350666967,True,4
37,Dijkstra,1000,5000,831,211,0.014992952346801758,0.3001699447631836,0.2758582294400866,0.112230229139709,True,6
37,Bellman-Ford,1000,5000,831,211,0.0459592342376709,0.3005485534667969,0.6848528426890261,0.2129278429602273,True,6
37,A_Star,1000,5000,831,211,0.001995563507080078,0.29401493072509766,0.05624543920000592,0.023695438148728994,True,6
